variable_name,units,value,data_reference
u_0_L2_E82,J_per_m3,1.7286933624480715e-09,TO_DO
theta_L2_E82,dimensionless,0.0,TO_DO
E_L2_E82,J_per_m3,142058.65259997483,TO_DO
l_L2_E82,metre,1.575e-06,TO_DO
r_0_L2_E82,metre,4.515e-07,TO_DO
P_L2_E12_PI,J_per_m3,6666.12,TO_DO
P_L2_E33_PI,J_per_m3,6666.12,TO_DO
P_L2_E42_PI,J_per_m3,6666.12,TO_DO
P_L2_E43_PI,J_per_m3,6666.12,TO_DO
P_L2_E44_PI,J_per_m3,6666.12,TO_DO
P_L2_E67_PI,J_per_m3,6666.12,TO_DO
P_L2_E22_PO,J_per_m3,666.612,TO_DO
P_L2_E41_PO,J_per_m3,666.612,TO_DO
P_L2_E55_PO,J_per_m3,666.612,TO_DO
P_L2_E72_PO,J_per_m3,666.612,TO_DO
P_L2_E75_PO,J_per_m3,666.612,TO_DO
P_L2_E78_PO,J_per_m3,666.612,TO_DO
beta_g,dimensionless,0.0,user_defined
rho,Js2_per_m5,1040.0,known
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802, Avolio_1980
b_vessel,per_m,-505.3,Avolio_1980
c_vessel,dimensionless,0.1324,Avolio_1980
d_vessel,per_m,-11.14,Avolio_1980
